country,name,world_region,year,yearly_co2_emissions,energy_use_per_person,coal_use_per_person,oil_use_per_person,electricity_use_per_person,energy_production_per_person,electricity_generation_per_person,hydro_power_generation_per_person,natural_gas_production_per_person,nuclear_power_generation_per_person,oil_production_per_person
afg,Afghanistan,south_asia,1960,414.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1961,491.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1962,689.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1963,707.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1964,839.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1965,1008.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1966,1092.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1967,1283.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1968,1224.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1969,942.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1970,1672.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1971,1895.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1972,1532.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1973,1639.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1974,1917.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1975,2126.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1976,1987.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afg,Afghanistan,south_asia,1977,2390.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
