country_id,country,world_region,economic_organisation,income_groups,main_religion,year,population_male,population_female,income_per_person,life_expectancy,life_expectancy_female,life_expectancy_male,children_per_woman,newborn_mortality,child_mortality,school_years_men,school_years_women,hdi_human_development_index
afg,Afghanistan,south_asia,g77,low_income,muslim,1960,4649357,4346986,1213,38.65,33.133,31.58,7.45,,363.7,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1961,4729080,4437674,1199,39.36,33.586,32.026,7.45,,357.5,,,
afg,Afghanistan,south_asia,g77,low_income,Muslim,1962,4813500,4532368,1195,40.07,34.03,32.466,7.45,,351.5,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1963,4902741,4631211,1192,40.78,34.469,32.903,7.45,,345.5,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1964,4996991,4734371,1190,41.51,34.904,33.338,7.45,,339.7,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1965,5096402,4842018,1190,42.22,35.337,33.771,7.45,,333.9,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1966,5199610,4952723,1176,42.94,35.768,34.204,7.45,,328.4,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1967,5306370,5066249,1181,43.66,36.2,34.636,7.45,,322.7,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1968,5419182,5185164,1196,44.37,36.634,35.069,7.45,,317.2,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1969,5541421,5313011,1187,45.08,37.072,35.505,7.45,,311.5,,,
afg,Afghanistan,south_asia,g77,low_income,muslim,1970,5674684,5451443,1183,45.78,37.518,35.946,7.45,,306,0.7,0,
afg,Afghanistan,south_asia,g77,low_income,muslim,1971,5818116,5599705,1100,45.89,37.97,36.392,7.45,,300.4,0.7,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1972,5967985,5753952,1054,45.89,38.432,36.847,7.45,,294.7,0.8,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1973,6119139,5908689,1146,45.98,38.904,37.312,7.45,,288.9,0.8,0.1,
afg,Afghanistan,south_asia,g77,low_income,muslim,1974,6264873,6056668,1179,46.09,39.39,37.791,7.45,,282.7,0.8,0.1,
