country_id	country	world_region	year	yearly_co2_emissions	energy_use_per_person	energy_production_per_person
afg	Afghanistan	south_asia	1990	2614.571		
afg	Afghanistan	south_asia	1991	2438.555		
afg	Afghanistan	south_asia	1992	1393.46		?
afg	Afghanistan	south_asia	1993	1345.789		
afg	Afghanistan	south_asia	1994	1294.451		
afg	Afghanistan	south_asia	1995	1243.113		
afg	Afghanistan	south_asia	1996	1177.107		
afg	Afghanistan	south_asia	1997	1096.433		
afg	Afghanistan	south_asia	1998	1041.428		
afg	Afghanistan	south_asia	1999	821.408		
afg	Afghanistan	south_asia	2000	773.737		
afg	Afghanistan	south_asia	2001	817.741		
afg	Afghanistan	south_asia	2002	1070.764		
afg	Afghanistan	south_asia	2003	1195.442		
afg	Afghanistan	south_asia	2004	949.753		
afg	Afghanistan	south_asia	2005	1327.454		
afg	Afghanistan	south_asia	2006	1650.15		
afg	Afghanistan	south_asia	2007	2273.54		
afg	Afghanistan	south_asia	2008	4206.049		
afg	Afghanistan	south_asia	2009	6769.282		
afg	Afghanistan	south_asia	2010	8463.436		
ago	Angola	sub_saharan_africa	1990	5115.465	483.35739	0.00277
ago	Angola	sub_saharan_africa	1991	5089.796	479.8715	0.00281
ago	Angola	sub_saharan_africa	1992	5196.139	467.10918	0.00298
ago	Angola	sub_saharan_africa	1993	5775.525	468.05375	0.00268
ago	Angola	sub_saharan_africa	1994	3890.687	459.45363	0.00281
ago	Angola	sub_saharan_africa	1995	10975.331	445.32621	0.00301
ago	Angola	sub_saharan_africa	1996	10458.284	445.34767	0.0032
ago	Angola	sub_saharan_africa	1997	7381.671	442.78132	0.00325
ago	Angola	sub_saharan_africa	1998	7308.331	429.83264	0.00327
ago	Angola	sub_saharan_africa	1999	9156.499	438.87033	0.00322
ago	Angola	sub_saharan_africa	2000	9541.534	437.33765	0.00314
ago	Angola	sub_saharan_africa	2001	9732.218	442.00038	0.00302
ago	Angola	sub_saharan_africa	2002	12665.818	446.90382	0.00345
ago	Angola	sub_saharan_africa	2003	9064.824	465.54031	0.00333
ago	Angola	sub_saharan_africa	2004	18793.375	462.15755	0.00361
ago	Angola	sub_saharan_africa	2005	19156.408	430.93507	0.0043
ago	Angola	sub_saharan_africa	2006	22266.024	456.24691	0.0047
ago	Angola	sub_saharan_africa	2007	25151.953	469.6202	0.00542
ago	Angola	sub_saharan_africa	2008	25709.337	490.53642	0.00586
ago	Angola	sub_saharan_africa	2009	27792.193	514.41135	0.00544
ago	Angola	sub_saharan_africa	2010	29057.308	520.67512	
alb	Albania	europe_central_asia	1990	5515.168	813.2557	0.00074
alb	Albania	europe_central_asia	1991	4286.723	572.78184	0.00058
alb	Albania	europe_central_asia	1992	2515.562	418.28663	0.00043
alb	Albania	europe_central_asia	1993	2335.879	412.37888	0.00041
alb	Albania	europe_central_asia	1994	1925.175	441.2493	4e-04
alb	Albania	europe_central_asia	1995	2086.523	417.03484	0.00039
alb	Albania	europe_central_asia	1996	2016.85	447.84887	0.00043
alb	Albania	europe_central_asia	1997	1543.807	384.59496	0.00036
alb	Albania	europe_central_asia	1998	1752.826	426.68282	0.00035
alb	Albania	europe_central_asia	1999	2984.938	576.18363	0.00035
alb	Albania	europe_central_asia	2000	3021.608	580.49476	0.00032
alb	Albania	europe_central_asia	2001	3223.293	597.26525	0.00029
alb	Albania	europe_central_asia	2002	3751.341	660.04798	0.00031
alb	Albania	europe_central_asia	2003	4294.057	648.16839	0.00034
alb	Albania	europe_central_asia	2004	4165.712	715.41448	0.00037
alb	Albania	europe_central_asia	2005	4253.72	719.58438	0.00037
alb	Albania	europe_central_asia	2006	3898.021	706.85941	0.00038
alb	Albania	europe_central_asia	2007	3927.357	679.86177	0.00033
alb	Albania	europe_central_asia	2008	4374.731	710.7485	0.00036
alb	Albania	europe_central_asia	2009	4378.398	732.31668	0.00039
alb	Albania	europe_central_asia	2010	4598.418	729.15437	
and	Andorra	europe_central_asia	1990	407.037		
and	Andorra	europe_central_asia	1991	407.037		
and	Andorra	europe_central_asia	1992	407.037		
and	Andorra	europe_central_asia	1993	410.704		
and	Andorra	europe_central_asia	1994	407.037		
and	Andorra	europe_central_asia	1995	425.372		
and	Andorra	europe_central_asia	1996	454.708		
and	Andorra	europe_central_asia	1997	465.709		
and	Andorra	europe_central_asia	1998	491.378		
and	Andorra	europe_central_asia	1999	513.38		
and	Andorra	europe_central_asia	2000	524.381		
and	Andorra	europe_central_asia	2001	524.381		
and	Andorra	europe_central_asia	2002	531.715		
and	Andorra	europe_central_asia	2003	535.382		
and	Andorra	europe_central_asia	2004	561.051		
and	Andorra	europe_central_asia	2005	575.719		
and	Andorra	europe_central_asia	2006	546.383		
and	Andorra	europe_central_asia	2007	539.049		
and	Andorra	europe_central_asia	2008	539.049		
and	Andorra	europe_central_asia	2009	517.047		
and	Andorra	europe_central_asia	2010	517.047		
are	United Arab Emirates	middle_east_north_africa	1990	52009.061	10979.65405	0.06093
are	United Arab Emirates	middle_east_north_africa	1991	57010.849	11922.62539	0.06665
are	United Arab Emirates	middle_east_north_africa	1992	58136.618	10714.332	0.06651
are	United Arab Emirates	middle_east_north_africa	1993	65980.331	10652.13135	0.06188
are	United Arab Emirates	middle_east_north_africa	1994	73130.981	11188.16191	0.05981
are	United Arab Emirates	middle_east_north_africa	1995	70641.088	11305.33114	0.05835
are	United Arab Emirates	middle_east_north_africa	1996	41059.399	11368.97652	0.05742
are	United Arab Emirates	middle_east_north_africa	1997	41646.119	11435.91135	0.05636
are	United Arab Emirates	middle_east_north_africa	1998	81495.408	11125.36569	0.05478
are	United Arab Emirates	middle_east_north_africa	1999	78374.791	10789.94914	0.04927
are	United Arab Emirates	middle_east_north_africa	2000	112562.232	9991.42357	0.05156
are	United Arab Emirates	middle_east_north_africa	2001	101414.552	12087.10439	0.04837
are	United Arab Emirates	middle_east_north_africa	2002	84704.033	11369.47798	0.04577
are	United Arab Emirates	middle_east_north_africa	2003	106841.712	10484.09458	0.04802
are	United Arab Emirates	middle_east_north_africa	2004	113240.627	10238.10089	0.04678
are	United Arab Emirates	middle_east_north_africa	2005	116148.558	9716.63382	0.04284
are	United Arab Emirates	middle_east_north_africa	2006	123874.927	8812.96642	0.03971
are	United Arab Emirates	middle_east_north_africa	2007	135627.662	8295.73464	0.03432
are	United Arab Emirates	middle_east_north_africa	2008	157354.637	8604.06441	0.03013
are	United Arab Emirates	middle_east_north_africa	2009	167959.601	7820.25484	0.02433
are	United Arab Emirates	middle_east_north_africa	2010	160812.618	7458.87946	
arg	Argentina	america	1990	112147.861	1407.38675	0.00148
