country,world_region,year,children_per_woman,life_expectancy,income_per_person,is_oecd,income_groups,population,main_religion,child_mortality,life_expectancy_female,life_expectancy_male
Afghanistan,south_asia,1960,7.45,39.31,2744,FALSE,low_income,8996967,muslim,356.9,33.314,31.718
Afghanistan,south_asia,1961,7.45,40.04,2702,FALSE,low_income,9169406,muslim,350.89,33.84,32.224
Afghanistan,south_asia,1962,7.45,40.78,2683,FALSE,low_income,9351442,Muslim,345.34,34.359,32.724
Afghanistan,south_asia,1963,7.45,41.51,2665,FALSE,low_income,9543200,muslim,340.15,34.866,33.216
Afghanistan,south_asia,1964,7.45,42.25,2649,FALSE,low_income,9744772,muslim,334.92,35.364,33.7
Afghanistan,south_asia,1965,7.45,42.98,2641,FALSE,low_income,9956318,muslim,329.58,35.853,34.18
Afghanistan,south_asia,1966,7.45,43.72,2598,FALSE,low_income,10174840,muslim,324.34,36.338,34.656
Afghanistan,south_asia,1967,7.45,44.46,2601,FALSE,low_income,10399936,muslim,318.95,36.823,35.133
Afghanistan,south_asia,1968,7.45,45.19,2623,FALSE,low_income,10637064,muslim,313.58,37.314,35.615
Afghanistan,south_asia,1969,7.45,45.92,2594,FALSE,low_income,10893772,muslim,308.06,37.815,36.106
Afghanistan,south_asia,1970,7.45,46.64,2574,FALSE,low_income,11173654,muslim,302.71,38.327,36.607
Afghanistan,south_asia,1971,7.45,46.76,2498,FALSE,low_income,11475450,muslim,297.19,38.851,37.12
Afghanistan,south_asia,1972,7.45,46.76,2031,FALSE,low_income,11791222,muslim,291.66,39.385,37.644
Afghanistan,south_asia,1973,7.45,46.85,2031,FALSE,low_income,12108963,muslim,285.94,39.931,38.18
Afghanistan,south_asia,1974,7.45,46.96,2083,FALSE,low_income,12412960,muslim,280.4,40.49,38.729
Afghanistan,south_asia,1975,7.45,47.13,2152,FALSE,low_income,12689164,muslim,274.55,41.064,39.293
Afghanistan,south_asia,1976,7.45,47.34,2206,FALSE,low_income,12943093,Muslim,268.7,41.656,39.874
Afghanistan,south_asia,1977,7.45,47.48,2037,FALSE,low_income,13171294,muslim,262.87,42.265,40.473
