country	world_region	year	yearly_co2_emissions	energy_use_per_person	energy_production_per_person
Afghanistan	South Asia	1990	2604.53838		
Afghanistan	South Asia	1991	2428.47291		
Afghanistan	South Asia	1992	1382.653		?
Afghanistan	South Asia	1993	1334.92922		
Afghanistan	South Asia	1994	1283.50745		
Afghanistan	South Asia	1995	1232.14768		
Afghanistan	South Asia	1996	1166.08891		
Afghanistan	South Asia	1997	1085.32499		
Afghanistan	South Asia	1998	1030.26506		
Afghanistan	South Asia	1999	810.23159		
Afghanistan	South Asia	2000	768.82422999999994		
Afghanistan	South Asia	2001	812.73928		
Afghanistan	South Asia	2002	1064.94609		
Afghanistan	South Asia	2003	1206.37754		
Afghanistan	South Asia	2004	909.22346		
Afghanistan	South Asia	2005	1321.33111		
Afghanistan	South Asia	2006	1644.60378		
Afghanistan	South Asia	2007	2270.19498		
Afghanistan	South Asia	2008	4201.76714		
Afghanistan	South Asia	2009	6765.84868		
Afghanistan	South Asia	2010	8459.14277		
Angola	Sub Saharan Africa	1990	5092.86768	496.53649	0.00277
Angola	Sub Saharan Africa	1991	5067.03844	491.80257	0.00281
Angola	Sub Saharan Africa	1992	5169.273	478.58559	0.00298
Angola	Sub Saharan Africa	1993	5753.09002	479.81985	0.00268
Angola	Sub Saharan Africa	1994	3868.76061	470.93862	0.00281
Angola	Sub Saharan Africa	1995	10957.26746	455.66605	0.00301
Angola	Sub Saharan Africa	1996	10433.36066	454.05518	0.0032
Angola	Sub Saharan Africa	1997	7353.8653	449.25445	0.00325
Angola	Sub Saharan Africa	1998	7275.55796	433.88249	0.00327
Angola	Sub Saharan Africa	1999	9137.25305	441.16322	0.00322
Angola	Sub Saharan Africa	2000	9522.85164	438.55002	0.00314
Angola	Sub Saharan Africa	2001	9679.4377	442.97884	0.00302
Angola	Sub Saharan Africa	2002	12607.85963	448.26172	0.00345
Angola	Sub Saharan Africa	2003	8995.72732	467.64406	0.00333
Angola	Sub Saharan Africa	2004	18717.24446	464.80785	0.00361
Angola	Sub Saharan Africa	2005	19021.99163	433.57253	0.0043
Angola	Sub Saharan Africa	2006	22120.50404	458.79416	0.0047
Angola	Sub Saharan Africa	2007	24996.55425	471.69418	0.00542
Angola	Sub Saharan Africa	2008	25506.87181	491.97862	0.00586
Angola	Sub Saharan Africa	2009	27588.07338	515.21712	0.00544
Angola	Sub Saharan Africa	2010	28888.10594	520.96236	
Albania	Europe Central Asia	1990	5515.168	813.2557	0.00074
Albania	Europe Central Asia	1991	4286.723	572.78184	0.00058
Albania	Europe Central Asia	1992	2515.562	418.28663	0.00043
Albania	Europe Central Asia	1993	2335.879	412.37888	0.00041
Albania	Europe Central Asia	1994	1925.175	441.2493	4e-04
Albania	Europe Central Asia	1995	2086.523	417.03484	0.00039
Albania	Europe Central Asia	1996	2016.85	447.84887	0.00043
Albania	Europe Central Asia	1997	1543.807	384.59496	0.00036
Albania	Europe Central Asia	1998	1752.826	426.68282	0.00035
Albania	Europe Central Asia	1999	2984.938	576.18363	0.00035
Albania	Europe Central Asia	2000	3021.608	580.49476	0.00032
Albania	Europe Central Asia	2001	3223.293	597.26525	0.00029
Albania	Europe Central Asia	2002	3751.341	660.04798	0.00031
Albania	Europe Central Asia	2003	4294.057	648.16839	0.00034
Albania	Europe Central Asia	2004	4165.712	715.41448	0.00037
Albania	Europe Central Asia	2005	4253.72	719.58438	0.00037
Albania	Europe Central Asia	2006	3898.021	706.85941	0.00038
Albania	Europe Central Asia	2007	3927.357	679.86177	0.00033
Albania	Europe Central Asia	2008	4374.731	710.7485	0.00036
Albania	Europe Central Asia	2009	4378.398	732.31668	0.00039
Albania	Europe Central Asia	2010	4598.418	729.15437	
Andorra	Europe Central Asia	1990	407.037		
Andorra	Europe Central Asia	1991	407.037		
Andorra	Europe Central Asia	1992	407.037		
Andorra	Europe Central Asia	1993	410.704		
Andorra	Europe Central Asia	1994	407.037		
Andorra	Europe Central Asia	1995	425.372		
Andorra	Europe Central Asia	1996	454.708		
Andorra	Europe Central Asia	1997	465.709		
Andorra	Europe Central Asia	1998	491.378		
Andorra	Europe Central Asia	1999	513.38		
Andorra	Europe Central Asia	2000	524.381		
Andorra	Europe Central Asia	2001	524.381		
Andorra	Europe Central Asia	2002	531.715		
Andorra	Europe Central Asia	2003	535.382		
Andorra	Europe Central Asia	2004	561.051		
Andorra	Europe Central Asia	2005	575.719		
Andorra	Europe Central Asia	2006	546.383		
Andorra	Europe Central Asia	2007	539.049		
Andorra	Europe Central Asia	2008	539.049		
Andorra	Europe Central Asia	2009	517.047		
Andorra	Europe Central Asia	2010	517.047		
United Arab Emirates	Middle East North Africa	1990	51744.93105	11170.26337	0.06093
United Arab Emirates	Middle East North Africa	1991	56718.75069	12124.94935	0.06665
United Arab Emirates	Middle East North Africa	1992	57804.95472	10890.46764	0.06651
United Arab Emirates	Middle East North Africa	1993	65619.08242	10820.09388	0.06188
United Arab Emirates	Middle East North Africa	1994	72664.03548	11355.42466	0.05981
United Arab Emirates	Middle East North Africa	1995	70070.03866	11463.22539	0.05835
United Arab Emirates	Middle East North Africa	1996	72834.39281	11511.7824	0.05742
United Arab Emirates	Middle East North Africa	1997	73160.59182	11558.55141	0.05636
United Arab Emirates	Middle East North Africa	1998	80748.5112	11223.95986	0.05478
United Arab Emirates	Middle East North Africa	1999	77606.11829	10870.4472	0.04927
United Arab Emirates	Middle East North Africa	2000	111879.59655	10057.93504	0.05156
United Arab Emirates	Middle East North Africa	2001	100674.31452	12172.42399	0.04837
United Arab Emirates	Middle East North Africa	2002	83766.52426	11462.47575	0.04577
United Arab Emirates	Middle East North Africa	2003	105704.98889	10568.8275	0.04802
United Arab Emirates	Middle East North Africa	2004	111893.09089	10286.82068	0.04678
United Arab Emirates	Middle East North Africa	2005	114571.22419	9698.2879	0.04284
United Arab Emirates	Middle East North Africa	2006	121836.91042	8716.28969	0.03971
United Arab Emirates	Middle East North Africa	2007	133372.82563	8127.945	0.03432
United Arab Emirates	Middle East North Africa	2008	154094.53968	8367.15153	0.03013
United Arab Emirates	Middle East North Africa	2009	165635.80554	7572.35444	0.02433
United Arab Emirates	Middle East North Africa	2010	156104.90652	7215.2189	
Argentina	America	1990	111981.63085	1412.17983	0.00148
Argentina	America	1991	116940.67334	1435.48466	0.00152
Argentina	America	1992	121115.79931	1489.34759	0.00162
Argentina	America	1993	117660.91479	1474.30655	0.00168
Argentina	America	1994	122109.94873	1548.62326	0.00181
Argentina	America	1995	127702.92731	1551.74512	0.00192
Argentina	America	1996	134753.89997	1589.91765	0.00204
Argentina	America	1997	137670.68164	1621.9095	0.00217
Argentina	America	1998	139468.55154	1658.4954	0.0022
Argentina	America	1999	146630.25887	1668.22514	0.00219
Argentina	America	2000	141832.83883	1669.52674	0.00223
Argentina	America	2001	133419.76152	1570.89716	0.00227
Argentina	America	2002	124484.04815	1510.3132	0.00216
Argentina	America	2003	134730.88446	1598.78954	0.00222
Argentina	America	2004	157162.22484	1728.214	0.00227
Argentina	America	2005	161556.95036	1720.67371	0.00219
Argentina	America	2006	174760.4788	1853.04167	0.00221
Argentina	America	2007	174375.56876	1858.39222	0.00211
Argentina	America	2008	188195.14813	1937.64147	0.00209
Argentina	America	2009	179013.83682	1865.33726	0.00202
Argentina	America	2010	186824.63814	1928.65236	
Armenia	Europe Central Asia	1990	18130.64255	2178.54366	4e-05
Armenia	Europe Central Asia	1991	18833.98413	2317.91412	4e-05
Armenia	Europe Central Asia	1992	5864.64956	1199.77245	8e-05
Armenia	Europe Central Asia	1993	2575.71559	651.93684	0.00011
Armenia	Europe Central Asia	1994	2716.9712	419.8215	9e-05
Armenia	Europe Central Asia	1995	3435.08549	511.17224	8e-05
Armenia	Europe Central Asia	1996	2594.8645	562.16091	0.00023
Armenia	Europe Central Asia	1997	3268.91518	594.24964	0.00017
Armenia	Europe Central Asia	1998	3399.44583	609.99612	0.00018
Armenia	Europe Central Asia	1999	3050.61745	593.54126	0.00021
Armenia	Europe Central Asia	2000	3494.26568	656.30893	0.00021
Armenia	Europe Central Asia	2001	3535.5935	657.47322	2e-04
Armenia	Europe Central Asia	2002	3079.34187	618.45472	0.00024
Armenia	Europe Central Asia	2003	3458.38933	656.48166	0.00023
Armenia	Europe Central Asia	2004	3694.21927	698.08413	0.00024
Armenia	Europe Central Asia	2005	4379.75211	842.69752	0.00028
Armenia	Europe Central Asia	2006	4405.19392	864.88319	0.00028
Armenia	Europe Central Asia	2007	5104.34833	972.79837	0.00027
Armenia	Europe Central Asia	2008	5579.35451	1033.17183	0.00026
Armenia	Europe Central Asia	2009	4366.9046	903.70044	0.00027
Armenia	Europe Central Asia	2010	4256.23206	863.02596	
Antigua and Barbuda	America	1990	282.359	1580.53211	
Antigua and Barbuda	America	1991	267.691		
Antigua and Barbuda	America	1992	264.024		
Antigua and Barbuda	America	1993	271.358		
Antigua and Barbuda	America	1994	267.691		
Antigua and Barbuda	America	1995	275.025		
Antigua and Barbuda	America	1996	293.36		
Antigua and Barbuda	America	1997	308.028		
Antigua and Barbuda	America	1998	319.029		
Antigua and Barbuda	America	1999	330.03		
Antigua and Barbuda	America	2000	344.698		
Antigua and Barbuda	America	2001	348.365		
Antigua and Barbuda	America	2002	370.367		
Antigua and Barbuda	America	2003	403.37		
Antigua and Barbuda	America	2004	421.705	1680.44214	
Antigua and Barbuda	America	2005	429.039	1681.7038	
Antigua and Barbuda	America	2006	443.707	1729.05784	
Antigua and Barbuda	America	2007	469.376	1737.55742	
Antigua and Barbuda	America	2008	480.377		
Antigua and Barbuda	America	2009	509.713		
Antigua and Barbuda	America	2010	524.381		
Australia	East Asia Pacific	1990	278652.34328	5061.50846	0.00921
Australia	East Asia Pacific	1991	280101.51703	4927.78159	0.00964
